Unnamed: 0,PLZ,TUEREN,PREIS,MARKE,MODELL,REGDATE,KM_STAND,LEISTUNG_PS,FARBE,TREIBSTOFF,AUFBAU,GETRIEBE_TYP
0,5405,5,18400,Renault,Captur,2018,40'000 - 44'999,118,Sonstige,0,3,0
1,5502,5,12500,Mercedes-Benz,Viano,2007,180'000 - 189'999,150,Grau,1,2,0
2,5200,3,13900,Fiat,500,2019,45'000 - 49'999,85,Weiss,0,1,1
3,5317,5,27900,Audi,A6,2015,110'000 - 119'999,218,Grau,1,0,0
4,5745,5,46500,Volvo,XC60,2021,20'000 - 24'999,250,Grau,2,3,0
5,5610,5,42989,SEAT,Cupra Ateca,2021,15'000 - 19'999,300,Grau,0,3,0
6,5734,2,47600,Ferrari,360,1979,85'000 - 89'999,250,Rot,0,4,0
7,5102,5,105400,BMW,X-serien,2022,0 - 4'999,394,Schwarz,2,3,0
8,5733,5,10800,Volkswagen,Polo,2011,140'000 - 149'999,180,Weiss,0,1,0
9,5000,2,56800,BMW,Z-serien,2019,10'000 - 14'999,340,Schwarz,0,4,0
12,5037,5,1900,Audi,A4,2002,350'000 - 399'999,180,Grau,1,0,0
13,5452,5,15900,Mini,Mini Countryman,2014,110'000 - 119'999,184,Weiss,0,3,1
14,5037,5,6900,Ford,S-Max,2007,130'000 - 139'999,145,Silber,0,2,1
15,5600,5,9999,Mercedes-Benz,C-CLASS,2012,300'000 - 349'999,204,Grau,1,0,0
16,5603,5,4600,Nissan,Micra,2012,120'000 - 129'999,98,Braun,0,1,1
17,5082,2,71500,Dodge,Challenger,2020,15'000 - 19'999,492,Grau,0,5,0
19,5644,2,10600,Audi,TTS / TTRS,2008,200'000 - 249'999,272,Grau,0,5,1
20,4665,3,11950,BMW,335,2007,190'000 - 199'999,306,Braun,0,4,1
21,5604,5,92900,Alfa Romeo,Stelvio,2020,30'000 - 34'999,510,Blau,0,3,0
22,5502,5,23950,BMW,325,1989,25'000 - 29'999,170,Weiss,0,0,1
23,5036,5,9900,Suzuki,Swift,2019,100'000 - 109'999,136,Weiss,0,1,1
24,5614,4,30000,Subaru,Impreza,2005,140'000 - 149'999,224,Silber,0,1,1
25,5420,3,8800,Toyota,RAV4,2005,140'000 - 149'999,150,Grau,0,3,0
26,5734,2,34800,Pontiac,GTO,2006,80'000 - 84'999,405,Rot,0,5,0
27,5415,5,17900,Audi,A6,2012,200'000 - 249'999,313,Schwarz,1,1,0
28,5420,5,29800,Volkswagen,Caddy,2019,65'000 - 69'999,130,Sonstige,0,2,0
29,5627,5,76800,Dodge,Durango,2022,0 - 4'999,365,Weiss,0,3,0
30,5401,4,9900,Volkswagen,Passat,2011,140'000 - 149'999,105,Grau,1,0,1
31,5324,5,2800,SEAT,Altea XL,2009,200'000 - 249'999,140,Schwarz,1,0,1
32,5630,5,20900,SEAT,Leon,2016,80'000 - 84'999,290,Weiss,0,0,0
33,5614,2,13900,Mercedes-Benz,SLK,2004,130'000 - 139'999,275,Silber,0,4,1
34,4314,5,16950,Volkswagen,T5,2008,190'000 - 199'999,130,Weiss,1,2,0
35,5610,5,18489,Toyota,Yaris,2022,0 - 4'999,111,Rot,0,1,1
36,5745,5,3900,Toyota,Yaris,2008,160'000 - 169'999,84,Grau,0,1,1
37,8952,5,9800,Opel,Astra,2015,60'000 - 64'999,99,Weiss,0,1,1
38,4812,2,89950,Mercedes-Benz,AMG,2016,55'000 - 59'999,510,Schwarz,0,5,0
39,5242,5,6000,Volkswagen,Polo,2011,130'000 - 139'999,63,Schwarz,0,1,1
40,5608,5,26900,Porsche,Panamera,2010,170'000 - 179'999,400,Schwarz,0,1,0
41,5502,5,20800,Mazda,CX-3,2018,45'000 - 49'999,120,Grau,0,3,0
42,5726,5,7600,Volkswagen,Polo,2011,140'000 - 149'999,105,Schwarz,0,1,1
43,5212,5,7000,Mitsubishi,Outlander,2013,130'000 - 139'999,156,Schwarz,1,3,0
45,5436,5,3900,Fiat,Croma,2009,140'000 - 149'999,147,Braun,0,0,0
46,5502,5,21500,Opel,Astra,2020,10'000 - 14'999,145,Sonstige,0,1,0
47,5734,5,6550,Volkswagen,Golf,2010,180'000 - 189'999,105,Silber,1,0,1
48,5725,5,9000,Mazda,3 MPS,2008,170'000 - 179'999,260,Grau,0,1,1
49,5610,4,10000,Subaru,Impreza,2000,250'000 - 299'999,218,Blau,0,1,1
50,5103,4,19900,Volkswagen,T5,2007,200'000 - 249'999,130,Schwarz,1,2,1
51,5630,5,9900,Volkswagen,Polo,2010,25'000 - 29'999,85,Sonstige,0,1,1
52,4665,5,26990,Volkswagen,Up,2022,0 - 4'999,83,Weiss,2,1,0
53,8957,5,8999,Smart,Forfour,2015,65'000 - 69'999,71,Gelb,0,1,1
54,5621,5,6900,Volkswagen,Up,2015,95'000 - 99'999,44,Weiss,0,1,1
55,4800,5,41481,Volvo,V60,2019,50'000 - 54'999,190,Blau,1,0,0
56,5610,5,24330,Peugeot,208,2022,0 - 4'999,100,Sonstige,0,1,1
57,5610,5,30900,Fiat,Doblo,2022,0 - 4'999,120,Grau,1,2,1
58,4852,5,188900,Mercedes-Benz,G-CLASS,2019,80'000 - 84'999,584,Schwarz,0,3,0
60,5001,5,22900,Mercedes-Benz,CLS,2013,150'000 - 159'999,260,Schwarz,1,1,0
61,5502,5,27900,Volkswagen,T-Cross,2021,10'000 - 14'999,110,Sonstige,0,3,0
62,5317,5,14900,Nissan,Qashqai,2016,90'000 - 94'999,115,Weiss,0,3,1
63,5036,5,44500,Mitsubishi,Eclipse Cross,2021,0 - 4'999,255,Rot,2,3,0
64,5200,5,3900,Volkswagen,Polo,2006,150'000 - 159'999,75,Blau,0,0,1
65,4665,5,32450,Audi,A1,2021,0 - 4'999,110,Grau,0,1,0
67,5430,2,42600,Mercedes-Benz,C-Klasse,2019,75'000 - 79'999,184,Grau,2,5,0
69,5645,5,3100,BMW,120,2007,190'000 - 199'999,176,Schwarz,1,1,1
71,5637,5,7800,Opel,Corsa,2011,75'000 - 79'999,100,Grau,0,1,1
72,5000,5,29950,Volkswagen,Golf,2015,70'000 - 74'999,300,Schwarz,0,0,0
